"middleUltrasonic","leftUltrasonic","rightUltrasonic","backUltrasonic","L0","L1","L2","xAccel","yAccel","zAccel","xGyro","yGyro","zGyro","xMag","yMag","zMag","servoAngle","state"
"14.0","28.0","5.0","40.0","1","1","1","204.0","-264.0","8581.0","12.0","3.0","89.0","414.0","-156.0","-720.0","90","0"
"6.0","9.0","4.0","19.0","1","1","1","219.0","-222.0","8590.0","-14.0","15.0","13.0","418.0","-180.0","-706.0","90","1"
"8.0","80.0","4.0","46.0","1","1","1","612.0","-149.0","8599.0","-17.0","31.0","-120.0","415.0","-175.0","-719.0","90","1"
"13.0","15.0","5.0","41.0","1","1","1","318.0","-258.0","8519.0","-17.0","69.0","-94.0","425.0","-167.0","-719.0","90","1"
"19.0","35.0","7.0","35.0","1","1","1","167.0","-210.0","8732.0","-34.0","18.0","-223.0","419.0","-161.0","-713.0","90","1"
"25.0","32.0","8.0","30.0","1","1","1","96.0","-255.0","8572.0","-48.0","-53.0","-217.0","418.0","-150.0","-716.0","90","1"
"31.0","36.0","10.0","25.0","1","1","1","196.0","-287.0","8484.0","-28.0","49.0","-152.0","412.0","-164.0","-716.0","90","1"
"66.0","59.0","14.0","20.0","1","1","1","197.0","-226.0","8517.0","5.0","13.0","-195.0","410.0","-152.0","-712.0","90","1"
"45.0","39.0","13.0","15.0","1","1","1","218.0","-246.0","8602.0","-20.0","-4.0","-265.0","405.0","-151.0","-723.0","90","1"
"50.0","45.0","17.0","10.0","1","1","1","187.0","-307.0","8634.0","-27.0","-10.0","-250.0","410.0","-154.0","-726.0","90","1"
"84.0","51.0","15.0","3.0","1","1","1","192.0","-235.0","8583.0","-14.0","14.0","12.0","419.0","-131.0","-723.0","90","0"
"56.0","49.0","15.0","5.0","1","1","1","-74.0","-178.0","8580.0","-6.0","-10.0","25.0","423.0","-141.0","-727.0","90","0"
"51.0","45.0","26.0","13.0","1","1","1","206.0","-200.0","8635.0","-18.0","40.0","102.0","410.0","-142.0","-726.0","90","0"
"45.0","40.0","11.0","15.0","1","1","1","163.0","-214.0","8615.0","-33.0","-6.0","195.0","405.0","-139.0","-715.0","90","0"
"84.0","34.0","12.0","21.0","1","1","1","163.0","-206.0","8638.0","-18.0","35.0","136.0","414.0","-138.0","-718.0","90","0"
"60.0","31.0","9.0","20.0","1","1","1","233.0","-365.0","8531.0","-24.0","-16.0","87.0","409.0","-139.0","-713.0","90","0"
"26.0","22.0","4.0","34.0","1","1","1","210.0","-216.0","8584.0","-14.0","16.0","11.0","412.0","-160.0","-718.0","90","1"
"55.0","23.0","6.0","30.0","1","1","1","496.0","-213.0","8582.0","-30.0","34.0","-142.0","414.0","-146.0","-714.0","90","1"
"59.0","30.0","8.0","23.0","1","1","1","361.0","-196.0","8547.0","-17.0","17.0","-149.0","411.0","-149.0","-723.0","90","1"
"38.0","32.0","12.0","21.0","1","1","1","240.0","-214.0","8557.0","-61.0","15.0","-155.0","407.0","-147.0","-717.0","90","1"
