"middleUltrasonic","leftUltrasonic","rightUltrasonic","backUltrasonic","L0","L1","L2","xAccel","yAccel","zAccel","xGyro","yGyro","zGyro","xMag","yMag","zMag","servoAngle","state"
"72.0","42.0","23.0","18.0","1","1","1","843.0","-108.0","8539.0","-12.0","16.0","12.0","198.0","-74.0","-790.0","90","0"
"68.0","42.0","23.0","21.0","1","1","1","580.0","-152.0","8524.0","-16.0","-72.0","184.0","205.0","-75.0","-783.0","90","0"
"62.0","42.0","22.0","26.0","1","1","1","783.0","-186.0","8597.0","5.0","1.0","225.0","207.0","-79.0","-795.0","90","0"
"56.0","43.0","22.0","35.0","1","1","1","815.0","-233.0","8513.0","-2.0","50.0","248.0","214.0","-72.0","-790.0","90","0"
"48.0","43.0","21.0","41.0","1","1","1","823.0","-52.0","8446.0","-12.0","8.0","295.0","216.0","-78.0","-786.0","90","0"
"41.0","43.0","22.0","47.0","1","1","1","806.0","-124.0","8466.0","21.0","-11.0","224.0","230.0","-76.0","-796.0","90","0"
"33.0","43.0","22.0","56.0","1","1","1","926.0","-149.0","8678.0","36.0","9.0","164.0","238.0","-74.0","-796.0","90","0"
"25.0","42.0","23.0","63.0","1","1","1","953.0","-329.0","8529.0","-4.0","52.0","320.0","234.0","-84.0","-792.0","90","0"
"17.0","41.0","27.0","70.0","1","1","1","814.0","-221.0","8539.0","27.0","94.0","342.0","241.0","-77.0","-793.0","90","0"
"6.0","41.0","25.0","80.0","1","1","1","800.0","-144.0","8542.0","-13.0","15.0","12.0","260.0","-88.0","-808.0","90","2"
"7.0","42.0","24.0","33.0","1","1","1","1056.0","-41.0","8501.0","-442.0","56.0","-3949.0","201.0","-79.0","-799.0","90","2"
"23.0","13.0","85.0","41.0","1","1","1","804.0","-128.0","8534.0","-13.0","13.0","10.0","107.0","-131.0","-787.0","90","2"
"20.0","12.0","79.0","39.0","1","1","1","1141.0","-361.0","8586.0","-410.0","53.0","-4003.0","69.0","-173.0","-783.0","90","2"
"107.0","18.0","92.0","43.0","1","1","1","750.0","-119.0","8543.0","-14.0","14.0","12.0","73.0","-261.0","-779.0","90","0"
"103.0","96.0","98.0","47.0","1","1","1","377.0","-134.0","8417.0","14.0","31.0","138.0","65.0","-261.0","-781.0","90","0"
"104.0","24.0","84.0","57.0","1","1","1","683.0","-143.0","8502.0","22.0","-18.0","221.0","66.0","-264.0","-776.0","90","0"
"6.0","28.0","56.0","27.0","1","1","1","746.0","-110.0","8532.0","-13.0","16.0","12.0","62.0","-268.0","-784.0","90","2"
"102.0","95.0","86.0","25.0","1","1","1","803.0","29.0","8425.0","-440.0","38.0","-4170.0","105.0","-325.0","-795.0","90","2"
"63.0","12.0","54.0","21.0","1","1","1","699.0","-163.0","8543.0","-13.0","15.0","12.0","200.0","-336.0","-804.0","90","0"
"60.0","12.0","54.0","24.0","1","1","1","314.0","-191.0","8522.0","-32.0","-16.0","170.0","207.0","-345.0","-807.0","90","0"
"54.0","12.0","52.0","31.0","1","1","1","669.0","-178.0","8570.0","-3.0","-17.0","277.0","193.0","-339.0","-799.0","90","0"
"47.0","14.0","51.0","39.0","1","1","1","737.0","-242.0","8533.0","-6.0","-53.0","233.0","187.0","-345.0","-803.0","90","0"
"39.0","15.0","51.0","46.0","1","1","1","696.0","-200.0","8492.0","8.0","-76.0","236.0","186.0","-346.0","-796.0","90","0"
"33.0","15.0","48.0","53.0","1","1","1","608.0","-283.0","8445.0","30.0","-50.0","303.0","190.0","-342.0","-804.0","90","0"
"26.0","15.0","49.0","60.0","1","1","1","757.0","-191.0","8611.0","6.0","44.0","179.0","177.0","-345.0","-807.0","90","0"
"22.0","15.0","49.0","69.0","1","1","1","684.0","-154.0","8593.0","31.0","0.0","245.0","170.0","-356.0","-790.0","90","0"
"11.0","15.0","50.0","77.0","1","1","1","772.0","-301.0","8444.0","33.0","20.0","266.0","172.0","-344.0","-802.0","90","0"
"5.0","14.0","50.0","85.0","1","1","1","797.0","-187.0","8531.0","-15.0","16.0","11.0","169.0","-347.0","-811.0","90","2"
"5.0","16.0","49.0","89.0","1","1","1","1032.0","-83.0","8583.0","-403.0","-34.0","-3761.0","232.0","-350.0","-816.0","90","2"
"48.0","9.0","75.0","19.0","1","1","1","1087.0","-325.0","8563.0","-468.0","-31.0","-4169.0","301.0","-309.0","-823.0","90","2"
"44.0","12.0","84.0","12.0","1","1","1","809.0","-136.0","8540.0","-12.0","15.0","12.0","331.0","-203.0","-813.0","90","0"
"42.0","10.0","82.0","16.0","1","1","1","383.0","-232.0","8589.0","6.0","85.0","151.0","335.0","-205.0","-811.0","90","0"
"37.0","12.0","83.0","22.0","1","1","1","680.0","-209.0","8492.0","16.0","58.0","89.0","344.0","-216.0","-818.0","90","0"
"30.0","14.0","82.0","30.0","1","1","1","660.0","-216.0","8423.0","-58.0","11.0","224.0","340.0","-226.0","-818.0","90","0"
"22.0","16.0","80.0","37.0","1","1","1","644.0","-226.0","8451.0","-14.0","49.0","185.0","342.0","-230.0","-814.0","90","0"
"10.0","20.0","44.0","48.0","1","1","1","830.0","-190.0","8530.0","-13.0","17.0","13.0","335.0","-243.0","-815.0","90","2"
"97.0","30.0","78.0","34.0","1","1","1","1054.0","-104.0","8437.0","-452.0","60.0","-4179.0","323.0","-177.0","-815.0","90","2"
"40.0","16.0","50.0","16.0","1","1","1","823.0","-160.0","8533.0","-13.0","16.0","12.0","270.0","-96.0","-804.0","90","2"
