"middleUltrasonic","leftUltrasonic","rightUltrasonic","backUltrasonic","L0","L1","L2","xAccel","yAccel","zAccel","xGyro","yGyro","zGyro","xMag","yMag","zMag","servoAngle","state"
"82.0","103.0","87.0","112.0","0","0","0","628.0","-200.0","8540.0","-19.0","13.0","18.0","324.0","-410.0","-556.0","90","0"
"81.0","104.0","87.0","111.0","0","0","0","647.0","-197.0","8546.0","-19.0","19.0","13.0","330.0","-402.0","-548.0","90","0"
"82.0","217.0","77.0","122.0","0","0","0","649.0","-196.0","8553.0","-18.0","18.0","10.0","319.0","-407.0","-559.0","90","0"
"82.0","212.0","87.0","133.0","0","0","0","652.0","-204.0","8540.0","-19.0","19.0","12.0","329.0","-409.0","-553.0","90","0"
"82.0","221.0","88.0","133.0","0","0","0","646.0","-209.0","8551.0","-17.0","19.0","13.0","322.0","-406.0","-558.0","90","0"
"81.0","221.0","87.0","131.0","0","0","0","646.0","-201.0","8548.0","-19.0","17.0","13.0","330.0","-408.0","-552.0","90","0"
"81.0","221.0","88.0","102.0","0","0","0","523.0","-244.0","8572.0","-14.0","37.0","9.0","331.0","-393.0","-559.0","90","1"
"81.0","220.0","87.0","108.0","0","0","0","12.0","-68.0","8579.0","-14.0","61.0","13.0","323.0","-403.0","-555.0","90","1"
"79.0","219.0","78.0","106.0","0","0","0","378.0","-211.0","8606.0","-71.0","-93.0","123.0","328.0","-408.0","-556.0","90","1"
"76.0","218.0","76.0","9.0","0","0","0","538.0","-231.0","8576.0","-29.0","35.0","101.0","323.0","-407.0","-537.0","90","1"
"73.0","219.0","111.0","11.0","0","0","0","569.0","-316.0","8626.0","-18.0","-55.0","93.0","318.0","-406.0","-538.0","90","1"
"69.0","216.0","112.0","14.0","0","0","0","545.0","-158.0","8471.0","-29.0","-51.0","153.0","307.0","-405.0","-529.0","90","1"
"65.0","220.0","111.0","18.0","0","0","0","750.0","-109.0","8616.0","-48.0","168.0","174.0","308.0","-396.0","-532.0","90","1"
"62.0","217.0","127.0","24.0","0","0","0","539.0","-235.0","8617.0","-6.0","109.0","144.0","285.0","-397.0","-525.0","90","1"
"58.0","217.0","109.0","26.0","0","0","0","798.0","-245.0","8622.0","-31.0","22.0","86.0","285.0","-393.0","-519.0","90","1"
"55.0","217.0","136.0","30.0","0","0","0","587.0","-169.0","8515.0","-36.0","76.0","204.0","270.0","-392.0","-528.0","90","1"
"51.0","216.0","126.0","34.0","0","0","0","588.0","-134.0","8590.0","43.0","6.0","128.0","265.0","-399.0","-523.0","90","1"
"47.0","118.0","126.0","37.0","0","0","0","645.0","-236.0","8530.0","21.0","-36.0","98.0","263.0","-391.0","-531.0","90","1"
"43.0","215.0","113.0","42.0","0","0","0","664.0","-318.0","8478.0","-24.0","-21.0","172.0","254.0","-396.0","-534.0","90","1"
"41.0","214.0","111.0","46.0","0","0","0","829.0","-201.0","8566.0","20.0","84.0","185.0","254.0","-388.0","-524.0","90","1"
"37.0","215.0","125.0","50.0","0","0","0","766.0","-242.0","8591.0","-44.0","15.0","244.0","245.0","-383.0","-533.0","90","1"
"34.0","212.0","125.0","55.0","0","0","0","539.0","-311.0","8570.0","-16.0","61.0","153.0","255.0","-377.0","-555.0","90","1"
